Term,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,International,Unreported Race,Illinois,Non-Illinois,Part time,Full time,Hawaiian/Pacific Isl,Multiracial,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian
su13,Undergraduate ,6224,3497,2723,4,3005,922,517,470,7,1094,50,4443,1781,3017,3207,10.0,149.0,576.0,52.0,,
su13,Graduate ,4757,2491,2265,1,1979,292,207,222,11,1902,71,1452,3305,1888,2869,1.0,72.0,251.0,41.0,,
su13,Professional ,220,76,144,0,142,18,12,20,0,17,5,142,78,94,126,0.0,6.0,15.0,3.0,,
fa14,Undergraduate ,32579,18287,14289,3,16368,5148,1743,2819,18,5332,255,24259,8320,837,31742,36.0,860.0,2081.0,243.0,138.0,5879.0
fa14,Graduate ,10037,5508,4529,0,3808,654,341,431,17,4484,153,2841,7196,487,9550,8.0,141.0,416.0,81.0,17.0,784.0
fa14,Professional ,987,368,618,1,598,63,42,53,1,55,161,653,334,1,986,1.0,13.0,50.0,6.0,3.0,72.0
sp14,Undergraduate ,30912,17267,13639,6,16319,4654,1662,2540,15,4734,165,23655,7257,1231,29681,46.0,777.0,1957.0,232.0,,
sp14,Graduate ,9577,5239,4335,3,3873,647,346,400,15,4076,84,2853,6724,555,9022,6.0,130.0,417.0,77.0,,
sp14,Professional ,1016,380,635,1,662,66,51,74,1,40,106,703,313,6,1010,1.0,15.0,59.0,11.0,,
su14,Undergraduate ,6230,3487,2735,8,2873,964,503,478,2,1204,52,4339,1891,3088,3142,5.0,149.0,591.0,45.0,22.0,1079.0
su14,Graduate ,4805,2535,2268,2,1970,276,211,233,11,1979,60,1445,3360,1748,3057,5.0,60.0,249.0,40.0,9.0,314.0
su14,Professional ,188,59,129,0,120,4,9,9,1,21,23,118,70,64,124,0.0,1.0,10.0,2.0,0.0,5.0
fa15,Undergraduate ,32878,18377,14498,3,15695,5571,1786,3108,21,5511,231,24078,8800,889,31989,24.0,931.0,2138.0,267.0,131.0,6311.0
fa15,Graduate ,10245,5591,4654,0,3741,637,349,431,16,4819,80,2716,7529,540,9705,5.0,167.0,432.0,84.0,17.0,769.0
fa15,Professional ,964,354,609,1,632,61,32,53,0,51,117,624,340,3,961,1.0,17.0,42.0,4.0,3.0,75.0
sp15,Undergraduate ,30948,17211,13733,4,15526,4981,1637,2723,16,5001,193,23100,7848,1319,29629,33.0,838.0,1966.0,234.0,133.0,5646.0
sp15,Graduate ,9554,5255,4299,0,3732,629,328,412,18,4220,74,2746,6808,524,9030,7.0,134.0,399.0,76.0,17.0,725.0
sp15,Professional ,995,376,618,1,608,63,44,54,1,65,146,652,343,5,990,1.0,13.0,53.0,6.0,3.0,72.0
su15,Undergraduate ,6696,3692,2998,6,3000,1040,442,540,3,1407,87,4498,2198,3538,3158,4.0,173.0,531.0,46.0,27.0,1182.0
